Unnamed: 0,Timestamp,What programme are you in?,Have you taken a course on machine learning?,Have you taken a course on information retrieval?,Have you taken a course on statistics?,Have you taken a course on databases?,What is your gender?,I have used ChatGPT to help me with some of my study assignments ,When is your birthday (date)?,How many students do you estimate there are in the room?,What is your stress level (0-100)?,How many hours per week do you do sports (in whole hours)? ,Give a random number,Time you went to bed Yesterday,What makes a good day for you (1)?,What makes a good day for you (2)?,Parsed How many students do you estimate there are in the room?,Parsed What is your stress level (0-100)?,Parsed How many hours per week do you do sports (in whole hours)?,Parsed Give a random number,Parsed Time you went to bed Yesterday,category_goodday_1,category_goodday_2
30,4-1-2025 12:17:55,"Business, Finance & Econometrics",no,0,mu,nee,male,yes,]1995-2000],300,55,2,27,12:00,Spending time with Marc,Nice warm weather,300,55.0,2.0,27,12:00,friends/family,weather
31,4-1-2025 12:17:56,AI & Data Science,yes,0,mu,nee,male,yes,]1995-2000],456,20,9,108,23:57,Yoga,Delicious food,456,20.0,9.0,108,23:57,sport,food
32,4-1-2025 12:17:56,AI & Data Science,yes,1,sigma,ja,not willing to answer,yes, ,20*5*5,100,10,37,05:00,Alcohol,More alcohol,400,100.0,10.0,37,05:00,alchol/drugs,alchol/drugs
33,4-1-2025 12:17:57,Computer Science & Technology,no,unknown,mu,ja,female,no,]1995-2000],100,100,1,4738,12,grade 10,win lottery ,100,100.0,1.0,4738,12:00,study/work,money
34,4-1-2025 12:17:57,AI & Data Science,yes,1,sigma,ja,male,yes,]1995-2000],250,20,5,11011011,23:30,Socialising ,When I've learned something new,250,20.0,5.0,11011011,23:30,friends/family,study/work
35,4-1-2025 12:17:58,AI & Data Science,yes,0,mu,nee,male,yes,]1995-2000],250,80,4,87,4:00,doing sports,not having anxiety,250,80.0,4.0,87,04:00,sport,mood
36,4-1-2025 12:17:58,AI & Data Science,yes,0,mu,nee,male,yes,]2000-2005],487,30,7,39,22:30,Sports,Free time,487,30.0,7.0,39,22:30,sport,sleep/rest
37,4-1-2025 12:17:59,"Business, Finance & Econometrics",yes,0,mu,nee,male,yes,]2000-2005],490,75,0,7,00:45,Booking tickets,drinking beers,490,75.0,0.0,7,00:45,holiday,alchol/drugs
38,4-1-2025 12:17:59,Computer Science & Technology,yes,1,mu,ja,female,yes,]1995-2000],300,10,2,77945354356758979022123,00:30,seeing friends,no work,300,10.0,2.0,77945354356758979022123,00:30,friends/family,study/work
39,4-1-2025 12:18:01,AI & Data Science,yes,0,unknown,ja,female,yes,]2000-2005],450,10,3,1934,01:30,Nice weather,No work,450,10.0,3.0,1934,01:30,weather,study/work
40,4-1-2025 12:18:03,AI & Data Science,no,0,mu,ja,female,yes,]2000-2005],550,50,8,8,00:30,Good food,Sun ,550,50.0,8.0,8,00:30,food,weather
41,4-1-2025 12:18:04,AI & Data Science,yes,0,mu,ja,male,yes,]2000-2005],350,45,4,69420,23:30,Feeling energized,Reaching the goals I set for myself that day,350,45.0,4.0,69420,23:30,mood,study/work
42,4-1-2025 12:18:05,"Business, Finance & Econometrics",yes,0,mu,ja,male,yes,]2000-2005],300,5,8,14,12,Sports,Friends,300,5.0,8.0,14,12:00,sport,friends/family
43,4-1-2025 12:18:06,"Business, Finance & Econometrics",yes,1,mu,ja,female,yes,]2000-2005],450,89,7,69,23:40,Bubble tea,Dog,450,89.0,7.0,69,23:40,food,friends/family
44,4-1-2025 12:18:06,"Business, Finance & Econometrics",yes,1,mu,ja,male,no,]1995-2000],350,0,4,14,3,No school,High grade,350,0.0,4.0,14,03:00,sleep/rest,study/work
45,4-1-2025 12:18:06,AI & Data Science,yes,unknown,mu,ja,male,not willing to say, ,200,49,7,420,2am,Warm,Sun,200,49.0,7.0,420,02:00,weather,weather
46,4-1-2025 12:18:07,AI & Data Science,yes,1,mu,ja,male,yes,]2000-2005],600,1000,4,66,1am,Going to gym,Weed,250,30.0,4.0,66,01:00,sport,alchol/drugs
47,4-1-2025 12:18:07,AI & Data Science,yes,1,mu,ja,male,yes,]2000-2005],200,0,69,199389299284884742829r7747r8e9w929e94747uch38838udud8388383838e8e8e8e8e8e8d8du8s888x8d88d8u,2:00,Ajax winning,Drugs,200,0.0,69.0,,02:00,mood,alchol/drugs
48,4-1-2025 12:18:08,AI & Data Science,yes,1,mu,ja,female,yes, ,320,70,12,4,23:59,Sun,Interacting with my loved ones,320,70.0,12.0,4,23:59,weather,friends/family
49,4-1-2025 12:18:08,Computer Science & Technology,no,0,mu,ja,male,yes,]2000-2005],200,30,5,2324234234234432434,12,nothing to do,can do anything,200,30.0,5.0,2324234234234432434,12:00,sleep/rest,sleep/rest
50,4-1-2025 12:18:08,Computer Science & Technology ,yes,1,sigma,ja,not willing to answer,not willing to say,]1995-2000],300,72,2,73,00:00,Beer ,Wine ,300,72.0,2.0,73,00:00,alchol/drugs,alchol/drugs
51,4-1-2025 12:18:10,Computer Science & Technology,yes,1,mu,ja,male,no,]1995-2000],350,5,9,-1,01:00,A cold beer,Kissing the homies for good night ,350,5.0,9.0,-1,01:00,alchol/drugs,joke
52,4-1-2025 12:18:11,AI & Data Science,yes,0,sigma,nee,intersex,yes,not possible,450,60,3,358,04:00,Happy,Friends,450,60.0,3.0,358,04:00,mood,friends/family
53,4-1-2025 12:18:11,AI & Data Science,no,0,mu,ja,female,yes,]1995-2000],150,60,2,42,2am,Good meal,Sunny day,150,60.0,2.0,42,02:00,food,weather
54,4-1-2025 12:18:12,AI & Data Science,yes,1,sigma,ja,not willing to answer,yes,not possible,375,6,10,61,23-00,Az winning,Went to the gym,375,6.0,10.0,61,23:00,mood,sport
55,4-1-2025 12:18:12,AI & Data Science,yes,0,mu,ja,male,yes,]1995-2000],200,13,6,7,00:00,Sunny,Pilsie,200,13.0,6.0,7,00:00,weather,alchol/drugs
56,4-1-2025 12:18:13,AI & Data Science,yes,1,mu,ja,male,yes, ,350,0,5,69,4am,Free time,Videogames,350,0.0,5.0,69,04:00,sleep/rest,sport
57,4-1-2025 12:18:13,"Business, Finance & Econometrics",yes,0,mu,nee,female,yes,]2000-2005],500,2,4,7,01.00,"Sun, good food, being productive",Travelling,500,2.0,4.0,7,01:00,weather,holiday
58,4-1-2025 12:18:13,AI & Data Science,no,0,mu,unknown,male,yes,]1995-2000],400,60,6,87,00.30,Praying 5 times on time,Seeing my parents and my younger brother doing fine,400,60.0,6.0,87,00:30,friends/family,friends/family
59,4-1-2025 12:18:14,AI & Data Science,no,0,mu,ja,male,yes, ,187,11,7,6969696,2.30,Gym,Edda,187,11.0,7.0,6969696,02:30,sport,study/work
60,4-1-2025 12:18:14,AI & Data Science,yes,1,mu,ja,female,not willing to say, ,500,60,6,5,1am,sun,more sun ,500,60.0,6.0,5,01:00,weather,weather
61,4-1-2025 12:18:14,AI & Data Science Science ,no,0,mu,ja,female,yes,]1995-2000],350,35,7,95836,1 AM,Getting enough sleep,Healthy breakfast,350,35.0,7.0,95836,01:00,sleep/rest,food
62,4-1-2025 12:18:16,AI & Data Science,yes,unknown,mu,unknown,male,no,]1990-1995],300,15,5,Random,12:00 pm,A good day,A bad day,300,15.0,5.0,,12:00,joke,joke
63,4-1-2025 12:18:16,Computer Science & Technology,yes,1,mu,ja,female,yes, ,400,66,6,12,23:30,Sunny weather ,Good grades ,400,66.0,6.0,12,23:30,weather,study/work
64,4-1-2025 12:18:17,AI & Data Science,yes,0,mu,nee,female,yes,]2000-2005],80,80,6,47,22.00,Sunny day spent with friends ,going to a rave,80,80.0,6.0,47,22:00,weather,alchol/drugs
65,4-1-2025 12:18:17,AI & Data Science,no,0,sigma,ja,not willing to answer,yes,not possible,500,100,2,89,5,Sun,Sun,500,100.0,2.0,89,05:00,weather,weather
66,4-1-2025 12:18:18,Computer Science & Technology,yes,1,unknown,ja,female,yes, ,450,20,0,8,11,Rain,Chocolate,450,20.0,0.0,8,11:00,weather,food
67,4-1-2025 12:18:18,AI & Data Science,yes,0,mu,nee,male,yes, ,450,90,10,4141,12:30am,When the sun is out,Having the time to run,450,90.0,10.0,4141,00:30,weather,sport
68,4-1-2025 12:18:19,"Business, Finance & Econometrics",yes,unknown,mu,nee,male,not willing to say,]2000-2005],220,40,9,15,23:00,Get a lot of sleep(at least 8 hours),Eat good food,220,40.0,9.0,15,23:00,sleep/rest,food
69,4-1-2025 12:18:19,AI & Data Science,yes,1,mu,ja,non-binary,not willing to say,]2000-2005],250,30,4,6,2,happiness ,sun,250,30.0,4.0,6,02:00,mood,weather
70,4-1-2025 12:18:20,AI & Data Science,yes,0,mu,ja,male,yes,]2000-2005],430,30,8,37,00:30,Doing things I want to do,Not having to do things I don't want to do,430,30.0,8.0,37,00:30,study/work,sleep/rest
71,4-1-2025 12:18:20,AI & Data Science,yes,1,mu,ja,female,yes,]1995-2000],500,65,4,168,23:00,sun,not encountering a stressful situation,500,65.0,4.0,168,23:00,weather,mood
72,4-1-2025 12:18:20,AI & Data Science,yes,0,mu,ja,male,yes,]2000-2005],250,200,5,42,23:00,Sex,Alcohol ,250,67.0,5.0,42,23:00,friends/family,alchol/drugs
73,4-1-2025 12:18:20,"Business, Finance & Econometrics",yes,1,mu,ja,male,yes,]2000-2005],350,42,10,5347833,2300,Good food and no econometrics courses,"Sun, exercise and beer",350,42.0,10.0,5347833,23:00,food,weather
74,4-1-2025 12:18:20,Computer Science & Technology,no,1,unknown,nee,male,yes,]2000-2005],380,99999,10,7777,2 pm,weed,alcohol,380,0.0,10.0,7777,14:00,alchol/drugs,alchol/drugs
75,4-1-2025 12:18:21,Computer Science & Technology,yes,0,mu,ja,female,yes,]1995-2000],5,60,4,8,23,Sunshine,Friends ,5,60.0,4.0,8,23:00,weather,friends/family
76,4-1-2025 12:18:22,AI & Data Science,yes,0,mu,unknown,male,yes,]1995-2000],350,15,6,42,23:00,Good weather,Chilling,350,15.0,6.0,42,23:00,weather,sleep/rest
77,4-1-2025 12:18:22,AI & Data Science,yes,1,mu,ja,female,yes, ,400,30,4,77,23:55,Sunny weather,Good food,400,30.0,4.0,77,23:55,weather,food
78,4-1-2025 12:18:26,AI & Data Science,yes,unknown,mu,ja,female,yes, ,330,47,12,30,23:45,Good food,Sun,330,47.0,12.0,30,23:45,food,weather
79,4-1-2025 12:18:26,AI & Data Science,yes,0,mu,ja,female,yes,]2000-2005],350,10,12,3,2am,sun,good food,350,10.0,12.0,3,02:00,weather,food
80,4-1-2025 12:18:27,Computer Science & Technology,yes,1,unknown,nee,male,yes,]2000-2005],200,20,15,6,1:30am,delicious food,alcohol dose,200,20.0,15.0,6,01:30,food,alchol/drugs
81,4-1-2025 12:18:27,AI & Data Science,yes,1,sigma,ja,male,yes, ,250,20,3,42,0:30,no responsibilities,nice weather,250,20.0,3.0,42,00:30,sleep/rest,weather
82,4-1-2025 12:18:27,"Business, Finance & Econometrics",yes,1,mu,ja,male,yes,]2000-2005],385,6,7,10,00:00,Food,Sun,385,6.0,7.0,10,00:00,food,weather
83,4-1-2025 12:18:28,AI & Data Science,yes,0,mu,nee,female,yes, ,390,37,4,197367,1am,Sun ,Good food,390,37.0,4.0,197367,01:00,weather,food
84,4-1-2025 12:18:28,"Business, Finance & Econometrics",yes,0,mu,ja,male,yes,]2000-2005],375,50,4,1,12,Travel,Active,375,50.0,4.0,1,12:00,holiday,sport
85,4-1-2025 12:18:30,AI & Data Science,yes,1,sigma,ja,male,yes,]2000-2005],195,0,10,7,12:34,Not having looking for x ,Spots,195,0.0,10.0,7,12:34,joke,sport
86,4-1-2025 12:18:31,Computer Science & Technology,no,0,sigma,nee,gender fluid,yes,-,300,30,4,73,1,Sun,Sub,300,30.0,4.0,73,01:00,weather,weather
87,4-1-2025 12:18:31,Health & Life Sciences,no,1,mu,nee,female,yes,]2000-2005],234,40,7,8,23:30,Coffee,Running in the sun,234,40.0,7.0,8,23:30,food,sport
88,4-1-2025 12:18:31,Computer Science & Technology,yes,1,mu,ja,other,yes, ,330,Over 9000,0,37,5am,Got nothing to do,Interesting activities,330,10.0,0.0,37,05:00,sleep/rest,sport
89,4-1-2025 12:18:32,AI & Data Science,yes,unknown,mu,nee,male,yes,]1995-2000],480,75,3,7,1,Achivements,Socialising,480,75.0,3.0,7,01:00,study/work,friends/family
90,4-1-2025 12:18:33,AI & Data Science,yes,unknown,mu,ja,male,yes, ,291,79,0,74,2 am,Being with someone i love,No assignment deadline!!!,291,79.0,0.0,74,02:00,friends/family,sleep/rest
91,4-1-2025 12:18:33,Computer Science & Technology,yes,1,sigma,ja,male,not willing to say, ,550,42.0,4,69,00:40,Eating burrata,Eating pasta,550,42.0,4.0,69,00:40,food,food
92,4-1-2025 12:18:34,AI & Data Science,yes,0,mu,ja,female,yes,]2000-2005],200,30,0,7,1:30,My boyfriend,My friends ,200,30.0,0.0,7,01:30,friends/family,friends/family
93,4-1-2025 12:18:34,Computer Science & Technology,yes,0,mu,ja,female,yes, ,500,100,3,3,12:45,Cats,Sun,500,100.0,3.0,3,12:45,friends/family,weather
94,4-1-2025 12:18:34,AI & Data Science,yes,1,unknown,ja,intersex,not willing to say,]2000-2005],420,100,8,40,11:35,-1,-2,420,100.0,8.0,40,11:35,,
95,4-1-2025 12:18:34,AI & Data Science,no,0,sigma,nee,female,yes,]2000-2005],200,10,8,11,1:00,Delicious food,Nice weather,200,10.0,8.0,11,01:00,food,weather
96,4-1-2025 12:18:35,"Business, Finance & Econometrics",yes,1,mu,ja,male,not willing to say,]2000-2005],350,85,7,4,01:30,A beer after a exam,Seeing my dog,350,85.0,7.0,4,01:30,alchol/drugs,friends/family
97,4-1-2025 12:18:35,AI & Data Science,yes,1,unknown,ja,female,yes,]2000-2005] ,289,40,6,"9,582E+12",23:25,Sun,Good exam result,289,40.0,6.0,,23:25,weather,study/work
